test_str "english works"
temp_str "temporary"

filenotf "ERR : Missing data file."
exit_penter "Press Enter to exit..."
continue_penter "Press Enter to continue..."

dialogbox_more "(Use arrow keys to scroll)"

unfinished_str "You have reached one of the unfinished parts of this program. Thank you for playing this work-in-progress game! If you have encountered any issue, feel free to let me know on Github."

gameover_msg "No dice! You suck."

# Inventory
inventory_empty "(empty)"
item_GoldenNugget "Golden nugget"

# Room prompt
room_prompt_text "Your choice: "
incorrect_input "Eh?"
incorrect_input "Eh? (type \"help\" to display commands)"

#Save/Load
save_success "Your game was saved!"
save_failed "The save file integrity could not be verified."
load_nofile "There is no existing savefile."
load_corrupted "Savefile is corrupted - this might be due to a read error."

# Rooms
menu_desc "Menu"
menu_c1 "Play"
menu_c2 "About"

take_car_text_choice "Take the car"

house_title "House"
house_desc "Well... That's your house. The neighbors are pretty quiet."
house_mow_lawn "Mow the lawn"
house_go_inside "Go inside"

inside_house_title "Inside the house"
inside_house_desc "A small house - it's not like you've never seen one"

inside_house_play_HOP "Play HOP II"
inside_house_replay_HOP "Play HOP II again"
inside_house_kill_parrot "Kill your parrot"
inside_house_go_outside "Go outside"

take_car_choice_desc "Where do you wanna go?"
take_car_choice_house "Home!"
take_car_choice_hospital "Hospital!"

nugget_choice_desc "It shines like a brand new car."
nugget_choice_keep "Keep it"
nugget_choice_eat "Eat it"

hospital_title "Hospital"
hospital_receive_care "Receive care"
hospital_ask_info "Ask for info"

# Cutscenes
cs_about_1 "Swannsong Adventure is licensed under GPL v3. See the COPYING file for more information."

cs_welcome_1 "Hej ! So you wanna play Swannsong Adventure, huh ? Well, I'll let you know that this is a qualität game. You won't regret playing it."
cs_welcome_2 "You play as Vladimir Swann, a regular man who absolutely wants to get the deluxe edition of the soundtrack album of \"Tolstoy and his brothers\". Anyway, I hope that you will appreciate this game made by a student who just started to learn C++ (and who isn't a native english speaker)."

cs_help_intro "Here's a list of the commands that can be entered:"
cs_help_inv_cmd "inventory (or inv): show inventory"
cs_help_save_cmd "save: save your progress"
cs_help_load_cmd "load: load your saved progress"
cs_help_help_cmd "help: show this screen"

cs_gold_nugget_found_1 "While mowing the lawn you stumble upon a golden nugget. Lucky one!"

cs_gold_nugget_kept_1 "This might come in handy."

cs_gold_nugget_eaten_1 "By eating the golden nugget, you hurt your mouth."

cs_gold_nugget_die_1 "You feel a bit low..."
cs_gold_nugget_die_2 "Oh wait, actually you're dying because you've eaten a freakin' golden nugget!"

cs_house_metal_detector_on_1 "Your metal dectector is ringing... That must be the golden nugget!"
cs_house_metal_detector_on_2 "What the... Is it the police ?"
cs_house_metal_detector_on_3 "You're under arrest and taken to the nearest police station"
cs_house_metal_detector_on_4 "After a totally fair trial, you are sentenced to death for theft of personal property. The kind of story that happens every day."

cs_play_HOP_1 "You start Hearts Of Potato II but you suck so much that you lose against Poland."
cs_play_HOP_again_1 "You start Hearts Of Potato II again but you are so pro gamer that you wine against Brazil (plz kom to brazil)"
cs_enough_HOP_1 "What's the point of playing if you always win?"

cs_cure_nugget_1 "You feel much better now!"
cs_already_cured_1 "What the hell you're asking? There's nothing wrong!"
cs_hospital_ask_info_1 "It seems that there is nobody at the front desk. Goddamn cuts!"
